DateTime,Entries,UniqueIPs
1528675202,8543,8543
1528676101,8456,8456
1528677001,8443,8443
1528677901,8420,8420
1528678801,8446,8446
1528679702,8467,8467
1528680601,8516,8516
1528681501,8534,8534
1528682401,8544,8544
1528683301,8550,8550
1528684201,8528,8528
1528685101,8437,8437
1528686002,8308,8308
1528686902,8238,8238
1528687802,8070,8070
1528688701,7883,7883
1528689601,7852,7852
1528690501,7850,7850
1528691401,7831,7831
1528692302,7769,7769
1528693201,7785,7785
1528694102,7647,7647
1528695001,7557,7557
1528695901,7292,7292
1528696801,7516,7516
1528697701,7654,7654
1528698601,7797,7797
1528699501,7906,7906
1528700402,7950,7950
1528701302,7927,7927
1528702202,8279,8279
1528703101,8517,8517
1528704001,8588,8588
1528704901,8576,8576
1528705801,8600,8600
1528706701,8617,8617
1528707601,8660,8660
1528708501,8766,8766
1528709402,8898,8898
1528710302,8949,8949
1528711202,9032,9032
1528712102,9034,9034
1528713001,9104,9104
1528713901,9163,9163
1528714802,9188,9188
1528715702,9208,9208
1528716602,9278,9278
1528717502,9514,9514
1528718402,9728,9728
1528719302,9723,9723
1528720202,9908,9908
1528721102,9966,9966
1528722002,9934,9934
1528722902,9882,9882
1528723802,10108,10108
1528724701,10264,10264
1528725602,10427,10427
1528726502,10415,10415
1528727402,10393,10393
1528728302,10338,10338
1528729202,10278,10278
1528730102,10362,10362
1528731002,10581,10581
1528731901,10759,10759
1528733702,10883,10883
1528734602,10900,10900
1528735502,10877,10877
1528736402,10906,10906
1528737302,10805,10805
1528738202,10825,10825
1528739102,10802,10802
1528740001,10960,10960
1528740902,11041,11041
1528741802,11079,11079
1528742702,11029,11029
1528743602,11068,11068
1528744502,11024,11024
1528745402,11066,11066
1528746302,10727,10727
1528747202,10709,10709
1528748103,10793,10793
1528749002,10917,10917
1528749902,11005,11005
1528750802,10999,10999
1528751702,11045,11045
1528752602,10994,10994
1528753502,10868,10868
1528754402,10845,10845
1528755302,10922,10922
1528756201,10889,10889
1528757102,10801,10801
1528758002,10724,10724
1528758902,10718,10718
1528759802,10744,10744
1528760702,10759,10759
1528761601,10673,10673
1528762502,10472,10472
1528763402,10452,10452
1528764302,10333,10333
1528765202,10346,10346
1528766101,10346,10346
1528767001,10375,10375
1528767902,10246,10246
1528768802,10134,10134
1528769702,9910,9910
1528770601,10050,10050
1528771501,10248,10248
1528772402,10369,10369
1528773302,10476,10476
1528774202,10440,10440
1528775101,10296,10296
1528776002,10189,10189
1528776902,10087,10087
1528777801,10141,10141
1528778701,10121,10121
1528779601,10111,10111
1528780502,10076,10076
1528781402,10167,10167
1528782302,10291,10291
1528783201,10377,10377
1528784101,10320,10320
1528785002,10209,10209
1528785902,9980,9980
1528786801,9868,9868
1528787702,9749,9749
1528788602,9879,9879
1528789501,10015,10015
1528790401,10113,10113
1528791302,10107,10107
1528792202,10040,10040
1528793101,10009,10009
1528794001,9883,9883
1528794902,9954,9954
1528795802,10119,10119
1528796701,10232,10232
1528797602,10322,10322
1528798502,10307,10307
1528799402,10228,10228
1528800302,10243,10243
1528801202,10289,10289
1528802102,10292,10292
1528803002,10324,10324
1528803902,10378,10378
1528804801,10368,10368
1528805702,10384,10384
1528806602,10427,10427
1528807501,10424,10424
1528808402,10427,10427
1528809301,10394,10394
