DateTime,Entries,UniqueIPs
1526052036,3661,3714
1526057435,3661,3714
1526062234,3663,3716
1526068235,3662,3715
1526073035,3663,3716
1526078436,3662,3714
1526083834,3665,3717
1526089235,3673,3727
1526095835,3670,3724
1526100034,3672,3726
1526106035,3675,3729
1526111436,3670,3724
1526116835,3670,3724
1526121635,3666,3721
1526127637,3656,3711
1526133035,3653,3708
1526143835,3648,3703
1526149235,3688,3743
1526154635,3680,3735
1526160036,3682,3737
1526165450,3682,3737
1526170835,3681,3736
1526176834,3682,3737
1526181634,3677,3732
1526187035,3680,3735
1526192435,3683,3738
1526197835,3676,3731
1526203234,3672,3727
1526208636,3673,3728
1526213435,3674,3729
1526218836,3677,3732
1526224835,3674,3729
1526229635,3677,3732
1526235637,3679,3734
1526241036,3675,3729
1526245835,3665,3719
1526251835,3667,3721
1526257235,3652,3706
1526262635,3641,3695
1526268035,3644,3698
1526273434,3630,3684
1526278835,3631,3685
1526284235,3631,3686
1526289635,3622,3677
1526294436,3617,3672
1526300435,3611,3666
1526305238,3596,3651
1526311235,3597,3652
1526316038,3596,3651
1526321436,3594,3649
1526327436,3587,3642
1526332235,3577,3632
1526338237,3579,3635
1526343634,3573,3629
1526348436,3578,3634
1526354440,3579,3634
1526359840,3580,3635
1526365238,3582,3637
1526370635,3584,3639
1526376036,3585,3640
1526381435,3565,3620
1526387435,3533,3587
1526392235,3534,3588
1526397637,3528,3581
1526402457,3526,3579
1526408435,3523,3576
1526413835,3510,3563
1526419239,3508,3559
1526424035,3503,3554
1526429435,3506,3557
1526435437,3496,3547
1526441438,3498,3549
1526446835,3500,3551
1526451635,3500,3551
1526457036,3499,3550
1526462435,3506,3557
1526468435,3508,3559
1526473835,3505,3555
1526478635,3495,3545
1526484040,3497,3547
1526488834,3493,3543
1526494235,3504,3557
1526499635,3507,3561
1526505035,3509,3563
1526510435,3511,3565
1526515835,3510,3564
1526521234,3496,3550
1526527235,3485,3539
1526532035,3479,3533
1526538035,3476,3530
1526542835,3472,3526
1526548235,3463,3518
1526554235,3457,3512
1526559035,3450,3505
1526564436,3444,3499
1526570435,3440,3495
1526575245,3439,3494
1526580635,3439,3494
1526586036,3439,3494
1526591436,3442,3497
1526595034,3442,3497
1526600436,3450,3505
1526604636,3453,3508
1526610040,3449,3504
