DateTime,AddedIPs,RemovedIPs
1526306592,1,0
1526310192,0,4
1526313792,1,0
1526317332,11,3
1526320995,2,1
1526324532,1,0
1526328191,0,1
1526335392,0,4
1526338991,0,1
1526346192,3,1
1526349733,2,2
1526353332,1,4
1526356992,4,1
1526360531,2,4
1526364191,1,0
1526367793,2,4
1526371398,1,6
1526374991,0,2
1526378591,1,0
1526382196,2,1
1526385792,2,1
1526392993,1,0
1526396592,1,0
1526400192,1,3
1526403793,4,0
1526407332,0,3
1526410992,0,2
1526414592,2,0
1526418193,3,2
1526421792,1,1
1526425340,2,1
1526428993,1,0
1526432532,1,0
1526436192,1,2
1526439732,2,7
1526443334,2,0
1526446932,1,3
1526450594,2,0
1526454194,1,1
1526457792,2,0
1526461394,1,1
1526464993,3,4
1526468593,3,0
1526472193,3,0
1526475793,1,1
1526479333,2,1
1526480473,1,1
1526482994,0,1
1526486533,1,0
1526490193,3,1
1526493793,2,2
1526497334,1,0
1526500993,1,0
1526504594,0,5
1526508193,1,0
1526511797,1,1
1526518993,1,3
1526522594,1,5
1526526134,1,5
1526529733,4,2
1526533335,1,0
1526536998,2,3
1526544193,4,6
1526547796,1,0
1526551394,2,0
1526554995,1,0
1526558595,0,2
1526562135,0,5
1526565794,2,0
1526569396,0,1
1526572936,2,0
1526576596,1,0
1526580194,2,1
1526583794,4,3
1526590938,2,2
1526598194,0,2
1526605394,0,1
1526608935,1,2
1526612539,3,7
1526616198,2,0
1526619794,3,2
1526623395,1,0
1526630538,0,1
1526634136,5,3
1526637734,1,0
1526641395,1,0
1526648595,3,5
1526652198,2,0
1526655735,1,2
1526659395,2,1
1526662996,2,1
1526670195,1,0
1526673799,3,1
1526677335,1,0
1526680935,0,2
1526684600,4,0
1526688199,1,0
1526691803,5,0
1526695397,4,6
1526698998,2,0
1526702537,2,6
1526706195,3,2
1526709796,4,0
1526713395,2,1
1526716998,0,2
1526720601,0,1
1526724199,1,0
1526727800,5,2
1526731400,4,1
1526734996,2,1
1526738538,2,2
1526742136,2,1
1526749400,0,3
1526752936,1,2
1526756596,0,2
1526760196,0,1
1526767396,0,1
1526770996,1,1
1526774596,0,4
1526778196,0,2
1526781796,1,0
1526785396,2,3
1526788996,2,0
1526796197,3,2
1526799800,1,4
1526806997,1,2
1526810536,2,0
1526814196,3,4
1526817737,2,0
1526821338,1,1
1526824998,0,1
1526828598,3,4
1526832196,2,0
1526835736,1,0
1526839337,0,3
1526842937,1,3
1526846538,0,2
1526850198,2,1
1526853798,1,1
1526857398,1,2
1526864597,0,1
1526868197,3,5
1526871797,2,0
1526875337,3,6
1526878998,2,0
1526882598,1,3
1526886198,1,0
1526889799,1,2
1526893400,1,1
1526893891,2,0
1526896950,9,1
1526900550,0,1
1526907811,3,0
1526911415,0,4
1526914954,1,0
1526916510,1,1
1526918551,0,4
1526922211,1,0
1526925750,1,4
1526929350,3,0
1526933010,1,1
1526936550,1,0
1526940211,1,2
1526950952,0,1
1526954552,1,1
1526958152,2,8
1526961752,3,0
1526965351,0,1
1526968952,0,4
1526972611,1,1
1526976152,0,1
1526979811,1,0
1526983352,1,7
1526994152,1,0
1526997811,1,3
1527004952,0,1
1527008552,3,3
1527012151,2,1
1527019351,0,3
1527022952,1,3
1527026612,1,0
1527030153,2,2
1527040952,1,4
1527044613,2,0
1527048213,2,1
1527055353,4,5
1527062554,0,1
1527066214,1,0
1527069813,2,4
1527073413,1,4
1527084213,0,4
1527091352,2,0
1527094953,0,4
1527098552,0,1
1527102213,1,0
1527105753,3,3
1527109412,2,0
1527116552,0,2
1527117692,0,1
1527123813,0,3
1527127355,1,1
1527130953,2,0
1527134554,3,3
1527138154,2,3
1527141754,4,2
1527145595,1,1
1527153273,3,5
1527156217,1,0
1527159757,1,0
1527167013,1,0
